Index,Name,Price,Original Price,Description,Rating,type
1692,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,1299,4999,"White, True Wireless",3.9,bluethoothheadset
1693,Varni Airgo 4 18 Hou Playtime with Led Display (TWS) ...,1274,5999,"Black, True Wireless",2.4,bluethoothheadset
1694,CatBull HBQ i7 Bluetooth Headphone Headset Bluetooth He...,199,699,"White, True Wireless",3.4,bluethoothheadset
1695,DIGIBUDS Earbuds L21 with ASAP Charge Bluetooth Headset,719,2499,"Black, True Wireless",0,bluethoothheadset
1696,"DEFY Gravity Turbo with Low Latency for Gaming, 30 Hour...",999,2799,"Tranquil White, In the Ear",4,bluethoothheadset
1697,LEAF Buds 2 Bluetooth Headset,1398,2999,"Pure White, True Wireless",3.9,bluethoothheadset
1698,FEND ZE 25 Type C Earphone For 0_PP0 Reno 6 5G/Reno 6Z ...,499,999,"Black, In the Ear",0,bluethoothheadset
1699,Google Pixel Buds Pro Bluetooth Headset,19990,0,"Black, White, In the Ear",4.9,bluethoothheadset
1700,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Red, True Wireless",3.7,bluethoothheadset
1701,Skullcandy Dime 2 Bluetooth Headset,2519,7999,"Blue, Grey, True Wireless",3.5,bluethoothheadset
1702,WeCool Moonwalk M4 Gaming Earbuds with 60ms Low Latency...,1299,4999,"Yellow, True Wireless",4,bluethoothheadset
1703,Sunnybuy Wireless Headphones Wireless Bluetooth Earphon...,520,999,"White, True Wireless",3.3,bluethoothheadset
1704,HOPPUP GRAND With Power Bank Function & Upto 75 Hou P...,599,2999,"Black, True Wireless",3.8,bluethoothheadset
1705,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,3299,4999,"Closer Gold, True Wireless",4.1,bluethoothheadset
1706,blackhell in pods 12 black Bluetooth Headset,548,1999,"Black, True Wireless",0,bluethoothheadset
1707,TECHFIRE A6S Bluetooth Earbuds Wireless Earbuds Bluetoo...,539,2100,"Black, True Wireless",3.3,bluethoothheadset
1708,"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",1499,5499,"Black, True Wireless",4,bluethoothheadset
1709,TEQIR Audio AirBass PowerBuds TWS Earbuds with 36H Tota...,999,1999,"Blue, True Wireless",3.7,bluethoothheadset
1710,buddies cart Earpod XÃ– Pro with Safe Charging Case Blue...,1799,4999,"White, True Wireless",0,bluethoothheadset
1711,SAIANSH ENTERPRISES Wireless bluetooth headset Waterpro...,499,1299,"Black, True Wireless",3.7,bluethoothheadset
1712,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Blue, True Wireless",3.7,bluethoothheadset
1713,Sunnybuy TWS L21 Mini HD Waterproof Headset V5.0 Headph...,710,1499,"Black, True Wireless",3.5,bluethoothheadset
1714,"PTron Basspods 681, Dedicated 50ms Game Mode & 40H Pl...",1599,3999,"Black, True Wireless",3.8,bluethoothheadset
1715,ashron Double (Duel L/R) sports with charging box Bluet...,314,999,"White, In the Ear",3.3,bluethoothheadset
1716,U&i My Dots Series True Wireless Earbuds with 20 Hou ...,649,2999,"Black, True Wireless",3.6,bluethoothheadset
1717,RPMSD True Wireless ProBuds Headphone Earphone With Cha...,1025,2995,"White, Yellow, True Wireless",3.5,bluethoothheadset
1718,Casa Tech Wireless Bluetooth Hand Free Headset Both Ear...,385,800,"White, True Wireless",3.3,bluethoothheadset
1719,blue seed BBD-129 One side Earbuds (Without Charging Ca...,227,349,"Black, In the Ear",3.5,bluethoothheadset
1720,Mivi DuoPods F40 with 50 H Playtime I13mm Drive|Mad...,1199,2999,"Blue, True Wireless",3.8,bluethoothheadset
1721,boAt Airdopes 381 with ASAP charge Bluetooth Headset,2399,4990,"Spirit Lime, In the Ear",3.9,bluethoothheadset
1722,CADNUT VMD_519M__ i12 Earbuds Bluetooth Headset Bluetoo...,489,1599,"White, True Wireless",0,bluethoothheadset
1723,CIHLEX Earphone Wired Headset,264,999,"White, In the Ear",3.6,bluethoothheadset
1724,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Black, True Wireless",3.7,bluethoothheadset
1725,Skullcandy Dime Truly wireless in Ear Earbuds with micr...,2499,7499,"Blue, True Wireless",3.4,bluethoothheadset
1726,"DUDAO All in One Earphones with 2 mic, Headset for onli...",594,2390,"Black, Red, In the Ear",3.6,bluethoothheadset
1727,Soundcore by Anker Life Note True Wireless Bluetooth He...,2499,6999,"Grey, True Wireless",4,bluethoothheadset
1728,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Grey, True Wireless",3.7,bluethoothheadset
1729,deamflum Earbuds F9 Upto 48 Hou Playback with Power B...,899,3999,"Black, True Wireless",0,bluethoothheadset
1730,MJ Hub k1 earbuds bluetooth earphones single side Bluet...,163,399,"Black, In the Ear",3.5,bluethoothheadset
1731,drums PRO 18 Wireless Low Latency Gaming & Music Earbud...,849,4999,"Black, True Wireless",3.2,bluethoothheadset
1732,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,1299,4999,"White, True Wireless",3.9,bluethoothheadset
1733,WeCool Moonwalk M4 Gaming Earbuds with 60ms Low Latency...,1299,4999,"Yellow, True Wireless",4,bluethoothheadset
1734,BeastBass AAtt L21 Bluetooth Headset,599,1999,"Multicolor, True Wireless",4.3,bluethoothheadset
1735,KDM KM 25 UNIVEAL EARPHONE WIRED EARPHONE Wired Heads...,159,299,"White, In the Ear",4,bluethoothheadset
1736,"DEFY Gravity Turbo with Low Latency for Gaming, 30 Hour...",999,2799,"Tranquil White, In the Ear",4,bluethoothheadset
1737,Micromax AirFunk 1 Pro Bluetooth Headset,2499,4999,"White, True Wireless",4,bluethoothheadset
1738,Hooter Inpods 12 TWS Bluetooth Wireless Headset (blue c...,486,1999,"Blue, True Wireless",3.5,bluethoothheadset
1739,Phonoric Earbuds Pro for Android and iPhone with Built-...,539,799,"Black, True Wireless",0,bluethoothheadset
1740,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Red, True Wireless",3.7,bluethoothheadset
1741,MOBOAXE AIR\EARPODS PRO (BLK) PACK OF 1 Bluetooth Heads...,521,1299,"Black, True Wireless",0,bluethoothheadset
1742,artis E400M In-Ear Headphones with Mic. Bluetooth witho...,359,749,"Black, In the Ear",4.1,bluethoothheadset
1743,DIGIBUDS T-2 Pro with 2000 mAh Power Bank & ASAP Charge...,899,3999,"Black, True Wireless",0,bluethoothheadset
1744,HOPPUP GRAND With Power Bank Function & Upto 75 Hou P...,599,2999,"Black, True Wireless",3.8,bluethoothheadset
1745,ORAIMO OEP-E25 THOR Exceptional sound half-in earphone ...,246,349,"Black, In the Ear",3.8,bluethoothheadset
1746,Motile Truly Wireless Bluetooth Latest Designed Headpho...,375,1299,"White, True Wireless",0,bluethoothheadset
1747,"Kabeer enterprises TWSN21 EARBUDS,40H PLAYTIME,FAST CHA...",838,1999,"Black, True Wireless",0,bluethoothheadset
1748,U&i My Dots Series True Wireless Earbuds with 20 Hou ...,649,2999,"Black, True Wireless",3.6,bluethoothheadset
1749,"Czar CW530 Metallic In-Earphones , Rich Bass - Hi Fidel...",269,699,"Metallic Silver, In the Ear",4,bluethoothheadset
1750,boAt Airdopes 381 with ASAP charge Bluetooth Headset,2399,4990,"Mint Green, In the Ear",3.9,bluethoothheadset
1751,"FIER FGN-K1B,K1W Pack 2bluetooth,headphone Bluetooth He...",293,799,"Black, White, In the Ear",3.7,bluethoothheadset
1752,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Blue, True Wireless",3.7,bluethoothheadset
1753,drums DEFENDE 11 Wireless Low Latency Gaming & Music ...,764,4999,"Black, True Wireless",0,bluethoothheadset
1754,Tecno P1 Wired Headset,206,449,"Black, Red, In the Ear",3.8,bluethoothheadset
1755,icall BBD-Low Price Bluetooth X9 Bluetooth Headset,338,999,"Black, True Wireless",3.8,bluethoothheadset
1756,Mivi DuoPods F40 with 50 H Playtime I13mm Drive|Mad...,1199,2999,"Blue, True Wireless",3.8,bluethoothheadset
1757,CIHYARD CH-4 VERY POWERFUL BASS BOOSTED MINI (GREEN) AI...,809,2199,"Green, True Wireless",0,bluethoothheadset
1758,MAGICMART TWS I7S DUAL BLUETOOTH EARPODS Bluetooth Head...,359,1349,"White, True Wireless",0,bluethoothheadset
1759,Dopshop Earbuds M-10 Upto 48 Hou Playback Battery Blu...,849,2499,"Black, True Wireless",4.3,bluethoothheadset
1760,"DEFY Gravity Turbo with Low Latency for Gaming, 30 Hour...",999,2799,"Invincible Black, In the Ear",4,bluethoothheadset
1761,"DEFY Gravity Pro with 13mm Drive, ENC, upto 25 H Pl...",1599,2699,"Ocean Blue, In the Ear",4,bluethoothheadset
1762,JaiDr 5.0 bluetooth TWS In earpods With Mic Touch Senso...,699,2999,"White, True Wireless",0,bluethoothheadset
1763,SOniLEX BT78 Single Ear with Mic Mono Bluetooth Headset,540,1999,"Gold, True Wireless",3.8,bluethoothheadset
1764,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Black, True Wireless",3.7,bluethoothheadset
1765,DIGIBUDS T2 Pro with Power-Bank & ASAP Charging Bluetoo...,899,3999,"Black, True Wireless",0,bluethoothheadset
1766,Grostar TWS EARBUDS A6S BLUETOOTH EARBUDS Bluetooth Hea...,521,1999,"Black, True Wireless",3.6,bluethoothheadset
1767,PTron Bassbuds Jade Bluetooth Gaming Headset,1690,3699,"Black, True Wireless",3.8,bluethoothheadset
1768,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Grey, True Wireless",3.7,bluethoothheadset
1769,Foxne Point KJ320BT Wireless Bluetooth Headset Bluetoot...,594,1499,"Black, In the Ear",4.1,bluethoothheadset
1770,MI-STS Wireless earbud Sensor Touch with Charging Case ...,599,1499,"Black, True Wireless",3.3,bluethoothheadset
1771,Garwin Bluetooth Single Air Bud Bluetooth Headset,236,599,"White, In the Ear",3.2,bluethoothheadset
1772,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,1299,4999,"White, True Wireless",3.9,bluethoothheadset
1773,drums GAMING BASS BUDS 11 Wireless Low Latency Gaming &...,849,5999,"Black, True Wireless",3.1,bluethoothheadset
1774,VibeX i12 tws air & pod wireless earbud real stereo spo...,0,0,"Classy White, True Wireless",0,bluethoothheadset
1775,RPMSD Pro Wireless Earbuds Headset Earphone Mini BT Wit...,1167,3495,"White, True Wireless",3.1,bluethoothheadset
1776,"DEFY Gravity Turbo with Low Latency for Gaming, 30 Hour...",999,2799,"Tranquil White, In the Ear",4,bluethoothheadset
1777,SHOPLINE B11 Truly Wireless Bluetooth On Ear Neckband E...,299,999,"Red, In the Ear",0,bluethoothheadset
1778,DIGIBUDS M11 with Power-Bank Upto 48 Hou Playback Blu...,999,4999,"Black, True Wireless",0,bluethoothheadset
1779,Portronics Conch 50 Wired Headset,260,499,"Violet, In the Ear",3.7,bluethoothheadset
1780,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Red, True Wireless",3.7,bluethoothheadset
1781,deamflum Earbuds F-9 with Power Bank ASAP Charge Blueto...,899,3999,"Black, True Wireless",0,bluethoothheadset
1782,CADNUT I12Twins Bluetooth Headset for all Smartphones C...,489,1299,"White, True Wireless",0,bluethoothheadset
1783,ZINUX Red 3.5mm Headphone with in-line Mic for Hi-Fi Au...,197,599,"Red, In the Ear",3.7,bluethoothheadset
1784,HOPPUP GRAND With Power Bank Function & Upto 75 Hou P...,599,2999,"Black, True Wireless",3.8,bluethoothheadset
1785,S.P.N SP-88 Combo Pack of 2 Black & White Earphone Ster...,208,999,"black,white, In the Ear",3.8,bluethoothheadset
1786,RPMSD True Wireless ProBuds Headphone Earphone With Cha...,1025,2995,"White, Yellow, True Wireless",3.5,bluethoothheadset
1787,juloxi Mini in-ear stereo true wireless BT V 5.0 touch ...,845,1499,"Black, True Wireless",4.1,bluethoothheadset
1788,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Blue, True Wireless",3.7,bluethoothheadset
1789,ISYSGO Latest new power bank style earbuds tws earphone...,1075,2999,"Black, True Wireless",0,bluethoothheadset
1790,thejunni Tws i12 Black Bluetooth headset True Wireless ...,465,1149,"Black, True Wireless",0,bluethoothheadset
1791,Boston Levin Storm 8 Bluetooth Wireless Ear Buds with U...,1799,9999,"Black, True Wireless",3.2,bluethoothheadset
1792,U&i My Dots Series True Wireless Earbuds with 20 Hou ...,649,2999,"Black, True Wireless",3.6,bluethoothheadset
1793,TecSox Bullet Pro Wireless Earbuds| IPX Truly Wireless ...,699,2999,"Black, True Wireless",0,bluethoothheadset
1794,CELWARK EXTREME COMBO PACK OF SUPER EXTRA BASS HEADSET ...,224,999,"Black, White, In the Ear",3.5,bluethoothheadset
1795,PTron Basspods 992 Bluetooth Headset,1699,4599,"White, True Wireless",3.8,bluethoothheadset
1796,Mivi DuoPods F40 with 50 H Playtime I13mm Drive|Mad...,1199,2999,"Blue, True Wireless",3.8,bluethoothheadset
1797,Ridge Rockstar wireless earbuds Bluetooth Headphones & ...,1424,2999,"Black, True Wireless",0,bluethoothheadset
1798,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,3299,4999,"Closer Gold, True Wireless",4.1,bluethoothheadset
1799,Grostar A6S TWS bluetooth earbuds bluetooth headset Blu...,521,1999,"Black, True Wireless",3.6,bluethoothheadset
1800,"GOVO GOBUDS621, 20H Battery, IPX4, Rich Sound, Touch ...",1199,4499,"Platinum Black, True Wireless",3.5,bluethoothheadset
1801,P3A K1 & Red Magnet Bluetooth Pack of 2 Bluetooth Heads...,318,1998,"Red, Black, True Wireless",3.4,bluethoothheadset
1802,Google Pixel Buds A-Series with Google Assistant Blueto...,7599,9999,"Clearly White, True Wireless",4.4,bluethoothheadset
1803,RoyalRich LED Display TWS Earbuds Bluetooth Headset,899,2499,"Black, True Wireless",4,bluethoothheadset
1804,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Black, True Wireless",3.7,bluethoothheadset
1805,dilgona New Superior Sound Quality Lightweight with Mic...,525,799,"White, True Wireless",3.3,bluethoothheadset
1806,ASUS ROG Cetra II Core Wired Gaming Headset,4564,4999,"Black, In the Ear",4.1,bluethoothheadset
1807,Bhanu i7 Mini Bluetooth WirelessStereo Headset Bluetoot...,359,999,"White, In the Ear",3.2,bluethoothheadset
1808,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Grey, True Wireless",3.7,bluethoothheadset
1809,Sunnybuy True buds 4 Wireless High Bass design for musi...,989,2499,"White, True Wireless",3.7,bluethoothheadset
1810,"icall BBD-Low Price V4.1 with Mic K1 For Business , Dri...",320,999,"Black, True Wireless",3.2,bluethoothheadset
1811,Tiitan Combo Pack of Wired Earphones Black S8 Wired Hea...,179,899,"Black, In the Ear",0,bluethoothheadset
1812,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,1299,4999,"White, True Wireless",3.9,bluethoothheadset
1813,Meyaar LX-03EP Metal Earbuds With Mic & Carry Case for ...,208,1299,"Double Braided wire, In-line Mic, Deep High Bass, Lex_ox Black, Earphones with Free Carry Case, In the Ear",3.7,bluethoothheadset
1814,wow wireless on-3000 bluetooth mini air -pods Bluetooth...,1034,2499,"White, True Wireless",4.1,bluethoothheadset
1815,Skullcandy JibTrue Wireless Bluetooth Headset,2799,8999,"Blue, True Wireless",3.4,bluethoothheadset
1816,"DEFY Gravity Turbo with Low Latency for Gaming, 30 Hour...",999,2799,"Tranquil White, In the Ear",4,bluethoothheadset
1817,JBL T100TWSWHTI Bluetooth Headset,4599,7999,"White, True Wireless",3.7,bluethoothheadset
1818,CatBull R2 Wired Headset With mic Wired Headset,118,399,"Black, In the Ear",0,bluethoothheadset
1819,deamflum L-21 with ASAP Charge Bluetooth Headset,799,2999,"Black, True Wireless",3.6,bluethoothheadset
1820,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Red, True Wireless",3.7,bluethoothheadset
1821,S.P.N M-11 Pack Of 2 Earphones With Clear Sound Earbuds...,208,799,"Colorful Earphones, Cute Headset, Dark Pink Dark Green, Pack Of 2, In the Ear",3.9,bluethoothheadset
1822,Callmate Single Ear Headset with 20 H | driving use | B...,476,1499,"Black, True Wireless",3.5,bluethoothheadset
1823,Garwin k1-Black-9 Bluetooth Headset,162,999,"Black, True Wireless",4.2,bluethoothheadset
1824,HOPPUP GRAND With Power Bank Function & Upto 75 Hou P...,599,2999,"Black, True Wireless",3.8,bluethoothheadset
1825,TEQIR Bluetooth V5.1 IPX7 Trusted Waterproof Extra-Long...,999,1999,"Blue, True Wireless",0,bluethoothheadset
1826,Wings Beatpods with Extra Heavy Bass Bluetooth Headset,1299,2999,"White, Grey, True Wireless",3.9,bluethoothheadset
1827,Alchiko TWS-L21 Wireless 3D Sound Quality Hand Free Tal...,759,1999,"Black, True Wireless",3.3,bluethoothheadset
1828,U&i My Dots Series True Wireless Earbuds with 20 Hou ...,649,2999,"Black, True Wireless",3.6,bluethoothheadset
1829,HI-PLUS H-39 Wired Headset,296,449,"Black, In the Ear",0,bluethoothheadset
1830,VibeX Â® VXI-18 TWS Headphones 50H Playtime with 1500 mA...,2374,4999,"Dry Black, True Wireless",3,bluethoothheadset
1831,stnbull T2x 3.5mm Jack Earphones Super Bass Hands-Free ...,284,1199,"White, In the Ear",0,bluethoothheadset
1832,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Blue, True Wireless",3.7,bluethoothheadset
1833,Foxne Point Headphone Bluetooth Headset,415,799,"Black, In the Ear",3.8,bluethoothheadset
1834,Avlokan L12 EARBUDS Bluetooth Headset,466,2499,"Black, True Wireless",4,bluethoothheadset
1835,Fire-Boltt Fire Pods Atlas ANC ENC Earbuds TWS Transpar...,2799,10999,"White, True Wireless",4.1,bluethoothheadset
1836,Mivi DuoPods F40 with 50 H Playtime I13mm Drive|Mad...,1199,2999,"Blue, True Wireless",3.8,bluethoothheadset
1837,Zaap Z023 Bluetooth Headset,474,2000,"Black, In the Ear",3.7,bluethoothheadset
1838,CIHYARD 24Hr Long Life Battery Bluetooth Headphone Earp...,494,1999,"Black, True Wireless",3,bluethoothheadset
1839,DIZO Earphones with HD Mic (by realme techLife) Wired H...,429,599,"Creme White, In the Ear",4.1,bluethoothheadset
1840,"DEFY Gravity Turbo with Low Latency for Gaming, 30 Hour...",999,2799,"Invincible Black, In the Ear",4,bluethoothheadset
1841,Cocu BUDS A1 SURROUND SOUND WITH 30H PLAYTIME Bluetoo...,1149,4999,"White, True Wireless",4.6,bluethoothheadset
1842,MYRA UNIVEAL 2Pcs COMBO EARPHONE Wired Headset,269,798,"Yellow, Grey, In the Ear",3.8,bluethoothheadset
1843,TecSox Bullet Pro Wireless Earbuds| IPX Truly Wireless ...,699,2999,"Black, True Wireless",0,bluethoothheadset
1844,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Black, True Wireless",3.7,bluethoothheadset
1845,deamflum L-21 with ASAP Charge Bluetooth Headset,799,2999,"Black, True Wireless",3.6,bluethoothheadset
1846,DIGIBUDS T-37 TWS With Charging Case HQ Sound Technolog...,899,2499,"Black, True Wireless",0,bluethoothheadset
1847,Wings Beatpods With Extra Heavy Bass Bluetooth Headset,1299,2999,"Black, True Wireless",3.9,bluethoothheadset
1848,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Grey, True Wireless",3.7,bluethoothheadset
1849,stnbull T1 44W Handfree with 3.5mm Wired Headset Wired ...,284,699,"White, In the Ear",0,bluethoothheadset
1850,PHILIPS TWS SHB2515 True Wireless Earbuds with 110+ Hr ...,4749,8499,"Black, True Wireless",3.7,bluethoothheadset
1851,"Rh Pvt Ltd Target Wired Earphone With High Deep Bass,in...",122,219,"Black, In the Ear",3.7,bluethoothheadset
1852,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,1299,4999,"White, True Wireless",3.9,bluethoothheadset
1853,fiado Gaming Bass Earpods YX01Dual mode Bluetooth Heads...,997,4999,"Black, In the Ear",0,bluethoothheadset
1854,CIHLEX CH-2 VERY POWERFUL BASS BOOSTED MINI (BLUE) AIRB...,809,1999,"Blue, True Wireless",0,bluethoothheadset
1855,FIER FGN-K1W-02 Bluetooth Headset Bluetooth without Mic...,212,499,"White, In the Ear",3.8,bluethoothheadset
1856,"DEFY Gravity Turbo with Low Latency for Gaming, 30 Hour...",999,2799,"Tranquil White, In the Ear",4,bluethoothheadset
1857,TecSox Spectre Wireless Earbuds|IPX|40h Best Low Late...,1049,4999,"Black, True Wireless",3.4,bluethoothheadset
1858,NEFI TWS T8 Bluetooth 5.0 True Wireless Headphones Wate...,1091,6550,"Black, In the Ear",3.9,bluethoothheadset
1859,RPMSD Pro Wireless Earbuds Headset Earphone Mini BT Wit...,1167,3495,"White, True Wireless",3.1,bluethoothheadset
1860,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Red, True Wireless",3.7,bluethoothheadset
1861,MYRA P1 HEAVY BASS CHAMP EARPHONE COMBO 2PCS Wired Head...,250,898,"Black, White, In the Ear",3.7,bluethoothheadset
1862,Motile TWS i7 Earpods Bluetooth Wireless Earbuds Blueto...,399,1299,"White, True Wireless",0,bluethoothheadset
1863,"Fire-Boltt Fire Pods Ninja G301 Earbuds TWS HD Calls, P...",1199,4499,"Black, True Wireless",3.7,bluethoothheadset
1864,HOPPUP GRAND With Power Bank Function & Upto 75 Hou P...,599,2999,"Black, True Wireless",3.8,bluethoothheadset
1865,"CrossBeats SLIDE Truly Wireless Low latency, Best for M...",1799,5999,"Blue, True Wireless",0,bluethoothheadset
1866,CIHYARD C-6 Long Life Battery Bluetooth Headphone Earph...,494,1999,"Black, Red, True Wireless",0,bluethoothheadset
1867,boAt Airdopes 381 with ASAP charge Bluetooth Headset,2399,4990,"Mint Green, In the Ear",3.9,bluethoothheadset
1868,"Boult Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",1499,5499,"Black, True Wireless",4,bluethoothheadset
1869,"YODNSO Sam-sung ,op-po ,s1,vi.vo ,red.m-i /with soft si...",199,600,"White, In the Ear",3.8,bluethoothheadset
1870,Florida AKG_100 % ORIGINAL BEST HIGH QUALITY SOUND DEEP...,199,599,"Black, In the Ear",3.8,bluethoothheadset
1871,Candytech ct99waterproof Bluetooth Headset,899,1999,"Multicolor, True Wireless",4,bluethoothheadset
1872,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Blue, True Wireless",3.7,bluethoothheadset
1873,Bhanu i12 Bluetooth Earphone with Mic HEADPHONE Bluetoo...,419,1299,"White, In the Ear",0,bluethoothheadset
1874,blackhell pink in pods 12 compatible with Iphone and an...,525,2499,"Pink, True Wireless",3.9,bluethoothheadset
1875,"TIGENECY LOW PRICE SINGLE Bluetooth Headset (White, Tru...",229,998,"White, True Wireless",3.5,bluethoothheadset
1876,U&i My Dots Series True Wireless Earbuds with 20 Hou ...,649,2999,"Black, True Wireless",3.6,bluethoothheadset
1877,WeCool W001-Black Wired Headset,399,599,"Black, In the Ear",3.9,bluethoothheadset
1878,SARA Anti Slip M10 Earbuds/buds 5.1 Earbuds with 280H P...,799,1299,"Black, True Wireless",0,bluethoothheadset
1879,blue seed TWS M10 Bluetooth Truly Wireless in Ear Earbu...,692,999,"Black, True Wireless",4,bluethoothheadset
1880,Mivi DuoPods F40 with 50 H Playtime I13mm Drive|Mad...,1199,2999,"Blue, True Wireless",3.8,bluethoothheadset
1881,Edifier P180 Plus Earbuds with Remote and Mic Wired Hea...,594,899,"White, In the Ear",4.1,bluethoothheadset
1882,Pailor T2 TWS Bluetooth Earbuds Wireless Earbuds Blueto...,540,2999,"Black, True Wireless",0,bluethoothheadset
1883,SAIANSH ENTERPRISES Combo Pack Of 4 SP-27 Headset With ...,296,999,"Black, White, In the Ear",3.8,bluethoothheadset
1884,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Black, True Wireless",3.7,bluethoothheadset
1885,"One Roar DENX45 TWS Earbuds, 60H Playtime, Noise Isolat...",3329,5999,"Dark Silver, True Wireless",4,bluethoothheadset
1886,NVIRAV HM1000 BLUETOOTH HEADSET COLOR MAY VERY 2 Blueto...,219,399,"Black, Gold, In the Ear",3.7,bluethoothheadset
1887,Eos Touch Sensor with in Built Mic and High Bass Level ...,449,1499,"Dark Blue, True Wireless",3.2,bluethoothheadset
1888,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Grey, True Wireless",3.7,bluethoothheadset
1889,"Home Story Earbud Blue 01, With Wireless Charging Case ...",569,1499,"Blue, True Wireless",3.3,bluethoothheadset
1890,Foxne Point Wireless Bluetooth 4.1 Headset with Mic for...,225,799,"White, In the Ear",3.6,bluethoothheadset
1891,Arushma Lightning Earphone (Volume Control) Compatible ...,799,1999,"White, In the Ear",3.7,bluethoothheadset
1892,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,1299,4999,"White, True Wireless",3.9,bluethoothheadset
1893,blue seed BBD L-21 Wireless Bluetooth headphone waterpr...,549,1199,"Black, In the Ear",3.4,bluethoothheadset
1894,Ardilla Easy Pocket Carry mini TWS Bluetooth Headset,599,1499,"Yellow, True Wireless",3.1,bluethoothheadset
1895,ISYSGO Newest Tws Bt 5.1 True Wireless Stereo Earbuds G...,750,2999,"Black, True Wireless",0,bluethoothheadset
1896,"DEFY Gravity Turbo with Low Latency for Gaming, 30 Hour...",999,2799,"Tranquil White, In the Ear",4,bluethoothheadset
1897,Callmate MiniPods (TWS Buds) Touch Sensor Earbuds | IPX...,809,1999,"Black, True Wireless",0,bluethoothheadset
1898,DIGIBUDS L-21 Smart TWS With Charging Case HD Sound Tec...,719,2499,"Black, True Wireless",0,bluethoothheadset
1899,Meyaar Combo of 3 Sunshine Series Handsfree Earphones W...,246,1299,"2 White + 1 Black (3Pack), SPN Headphones, Trending Earbuds, YS, In the Ear",3.6,bluethoothheadset
1900,Boult Audio Airbass Truebuds Bluetooth Headset,1099,7999,"Red, True Wireless",3.7,bluethoothheadset
1901,Casa Tech Wireless Bluetooth Hand Free Headset Both Ear...,385,800,"White, True Wireless",3.3,bluethoothheadset
1902,Bhanu i12 Bluetooth Earphone with Mic HEADPHONE Bluetoo...,419,1299,"White, In the Ear",0,bluethoothheadset
1903,fiado PR0_8S GAMING BASS BUDS NOISE REDUCTION 45MS LOW ...,997,6999,"Black, True Wireless",0,bluethoothheadset
1904,HOPPUP GRAND With Power Bank Function & Upto 75 Hou P...,599,2999,"Black, True Wireless",3.8,bluethoothheadset
1905,fiado G-8 crystal clear wireless Bluetooth Headset,788,7999,"Black, True Wireless",3.8,bluethoothheadset
1906,fiado Gaming Bass Earpods YX01Dual mode Bluetooth Heads...,997,4999,"Black, In the Ear",0,bluethoothheadset
1907,HAKEX Air Tune (Buds) True Wireless Bluetooth Headset B...,569,1999,"Blue, In the Ear",0,bluethoothheadset
1908,U&i My Dots Series True Wireless Earbuds with 20 Hou ...,649,2999,"Black, True Wireless",3.6,bluethoothheadset
1909,blue seed BBD-S19 Bluetooth 5.0 Headphones Bluetooth He...,549,1599,"Black, In the Ear",4,bluethoothheadset
1910,RIGTOW I12 TWS BLACK Bluetooth Headset,399,899,"Black, True Wireless",0,bluethoothheadset
1911,Tecno J2 Wired Headset,269,599,"Black, In the Ear",3.8,bluethoothheadset
1912,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...,1199,5999,"Blue, True Wireless",3.7,bluethoothheadset
1913,"Sunnybuy TWS Earbuds, 5.0 Noise Cancelling with Dual Mi...",674,1499,"Black, True Wireless",3.6,bluethoothheadset
1914,"Fire-Boltt Fire Pods Polaris ANC ENC Earbuds TWS, about...",2499,9999,"Black, True Wireless",3.9,bluethoothheadset
